APP-001	Charadrius_vociferus	GCA_000708025.2
APP-002	Acanthisitta_chloris	GCA_000695815.1
APP-004	Apaloderma_vittatum	GCA_000703405.1
APP-005	Aptenodytes_forsteri	GCA_000699145.1
APP-006	Balearica_regulorum	GCA_000709895.1
APP-007	Buceros_rhinoceros	GCA_000710305.1
APP-008	Calypte_anna	GCA_000699085.1
APP-009	Antrostomus_carolinensis	GCA_000700745.1
APP-010	Cariama_cristata	GCA_000690535.1
APP-011	Cathartes_aura	GCA_000699945.1
APP-012	Chaetura_pelagica	GCA_000747805.1
APP-013	Chlamydotis_macqueenii	GCA_000695195.1
APP-014	Colius_striatus	GCA_000690715.1
APP-015	Columba_livia	GCA_000337935.2
APP-016	Corvus_brachyrhynchos	GCA_000691975.1
APP-017	Cuculus_canorus	GCA_000709325.1
APP-018	Egretta_garzetta	GCA_000687185.1
APP-019	Eurypyga_helias	GCA_000690775.1
APP-020	Falco_peregrinus	GCA_000337955.1
APP-021	Fulmarus_glacialis	GCA_000690835.1
APP-022	Gavia_stellata	GCA_000690875.1
APP-023	Geospiza_fortis	GCA_000277835.1
APP-025	Haliaeetus_leucocephalus	GCA_000737465.1
APP-026	Leptosomus_discolor	GCA_000691785.1
APP-028	Melopsittacus_undulatus	GCF_012275295.1
APP-029	Merops_nubicus	GCA_000691845.1
APP-030	Mesitornis_unicolor	GCA_000695765.1
APP-031	Nestor_notabilis	GCA_000696875.1
APP-032	Nipponia_nippon	GCA_000708225.1
APP-033	Opisthocomus_hoazin	GCA_000692075.1
APP-034	Pelecanus_crispus	GCA_000687375.1
APP-035	Phaethon_lepturus	GCA_000687285.1
APP-036	Phalacrocorax_carbo	GCA_000708925.1
APP-037	Phoenicopterus_ruber	GCA_000687265.1
APP-038	Picoides_pubescens	GCA_000699005.1
APP-039	Podiceps_cristatus	GCA_000699545.1
APP-040	Pterocles_gutturalis	GCA_000699245.1
APP-041	Pygoscelis_adeliae	GCA_000699105.1
APP-042	Struthio_camelus	GCA_000698965.1
APP-043	Tauraco_erythrolophus	GCA_000709365.1
APP-044	Tinamus_guttatus	GCA_000705375.2
APP-045	Tyto_alba	GCA_000687205.1
B10K-Callaeas-wilsoni	Callaeas_wilsoni	VWPU00000000
B10K-Casuarius-casuarius	Casuarius_casuarius	VWPT00000000
B10K-Crypturellus-soui	Crypturellus_soui	VWPX00000000
B10K-Crypturellus-undulatus	Crypturellus_undulatus	VWPW00000000
B10K-CU-030-46	Menura_novaehollandiae	VWPS00000000
B10K-CU-031-01	Ardeotis_kori	VWPR00000000
B10K-CU-031-02	Ceuthmochares_aereus	VWPQ00000000
B10K-CU-031-03	Cochlearius_cochlearius	VWPP00000000
B10K-CU-031-07	Geococcyx_californianus	VWPV00000000
B10K-CU-031-08	Glareola_pratincola	VWPO00000000
B10K-CU-031-10	Nyctibius_bracteatus	VWZB00000000
B10K-CU-031-11	Oceanites_oceanicus	VWZA00000000
B10K-CU-031-12	Rhodinocichla_rosea	VWYZ00000000
B10K-CU-031-13	Tachuris_rubrigastra	VZRD00000000
B10K-CU-031-17	Ptilorrhoa_leucosticta	VWYY00000000
